Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
9,40,40,610,-3070.666666666706,-3.795632468067622,0.0,657,[0.90020263 0.00979399 0.06923337 0.00861196 0.01215805]
6,30,30,611,-1393.9999999999955,-2.157894736842098,0.0,491,[0.90006775 0.01084011 0.07147696 0.00982385 0.00779133]
6,35,35,612,-1191.666666666668,-1.6414141414141434,0.0,571,[0.90472028 0.00641026 0.06264569 0.00670163 0.01952214]
7,35,35,613,-1974.8333333333003,-2.7164144887665755,0.0,577,[0.87493821 0.01062778 0.08180919 0.00741473 0.02521008]
6,35,35,614,-2097.3333333333035,-2.8888888888888475,0.0,571,[0.80710956 0.01048951 0.08770396 0.00990676 0.08479021]
6,35,35,615,-2304.0,-3.1735537190082646,0.0,575,[0.91869213 0.00752315 0.06626157 0.00549769 0.00202546]
9,25,25,616,-1925.666666666607,-3.384299941417587,0.0,435,"[9.49541284e-01 8.91946993e-03 3.36391437e-02 7.64525994e-03
 2.54841998e-04]"
9,35,35,617,-3017.3333333333658,-4.13900320073164,0.0,583,[0.9174277  0.0064688  0.04775495 0.00742009 0.02092846]
8,25,25,618,-1907.9999999999766,-3.3591549295774237,0.0,431,[0.93865741 0.00752315 0.04224537 0.00549769 0.00607639]
10,30,30,619,-2916.6666666667143,-4.48717948717956,0.0,499,[0.9046 0.006  0.0664 0.0086 0.0144]
5,45,45,620,-2920.0,-3.2994350282485874,0.0,729,[0.92246575 0.00410959 0.05780822 0.00356164 0.01205479]
9,30,30,621,-2199.4999999999823,-3.3890600924498955,0.0,497,[0.91097724 0.00669344 0.04395359 0.00691656 0.03145917]
9,45,45,622,-3690.0000000001123,-4.150731158605301,0.0,737,[0.93781993 0.00496838 0.04305932 0.00346281 0.01068955]
7,25,25,623,-1070.0000000000143,-1.8871252204585791,0.0,427,[0.89052069 0.00500668 0.05674232 0.00901202 0.03871829]
8,30,30,624,-2025.3333333333187,-3.1255144032921587,0.0,495,[0.91330645 0.01134073 0.05645161 0.01058468 0.00831653]
7,35,35,625,-1387.1666666666567,-1.9080696928014536,0.0,573,[0.91338975 0.01045296 0.05998009 0.00821304 0.00796416]
9,25,25,626,-2049.3333333333203,-3.6016403046279795,0.0,423,[0.86975891 0.00628931 0.07520964 0.00681342 0.04192872]
10,25,25,627,-2485.0000000000014,-4.35964912280702,0.0,419,[0.81666667 0.0097619  0.07785714 0.00928571 0.08642857]
8,45,45,628,-2980.833333333353,-3.3567942942943163,0.0,729,[0.92825342 0.00496575 0.0494863  0.00599315 0.01130137]
7,25,25,629,-784.6666666666702,-1.3838918283362789,0.0,427,[0.87449933 0.00634179 0.061749   0.00934579 0.04806409]
8,35,35,630,-2566.0833333333408,-3.524839743589754,0.0,580,[0.92448365 0.00860585 0.04604131 0.00839071 0.01247849]
7,25,25,631,-1212.666666666667,-2.138741916519695,0.0,427,[0.92356475 0.00333778 0.04572764 0.00534045 0.02202937]
5,40,40,632,-1191.666666666668,-1.4803312629399603,0.0,649,[0.86215385 0.00646154 0.07507692 0.00830769 0.048     ]
5,30,30,633,-1347.5,-2.0891472868217056,0.0,489,[0.94408163 0.00571429 0.04489796 0.00530612 0.        ]
8,45,45,634,-2576.0000000000155,-2.9009009009009183,0.0,735,[0.8828125  0.00849185 0.07710598 0.00798234 0.02360734]
6,40,40,635,-1676.58333333332,-2.080128205128189,0.0,648,[0.93117617 0.00564972 0.04982024 0.0048793  0.00847458]
9,25,25,636,-1780.3333333332926,-3.1288810779143983,0.0,435,[0.92482161 0.00509684 0.04051988 0.00560652 0.02395515]
8,35,35,637,-2255.9999999999845,-3.0989010989010777,0.0,575,[0.91493056 0.00651042 0.0625     0.00455729 0.01150174]
9,30,30,638,-1679.999999999959,-2.588597842835068,0.0,503,[0.88536155 0.00970018 0.07098765 0.01058201 0.02336861]
5,35,35,639,-1425.0,-1.9655172413793103,0.0,569,[0.90385965 0.00842105 0.06526316 0.00982456 0.01263158]
6,25,25,640,-1317.333333333329,-2.3274440518256694,0.0,415,[0.90785256 0.00801282 0.05769231 0.00560897 0.02083333]
9,25,25,641,-2261.3333333333276,-3.974223784417096,0.0,423,[0.86425577 0.01100629 0.07232704 0.01100629 0.04140461]
6,40,40,642,-1838.833333333317,-2.2814309346567208,0.0,648,[0.89111454 0.00744735 0.07960966 0.01001541 0.01181305]
7,35,35,643,-2569.5,-3.5343878954607977,0.0,570,[0.91793845 0.00625469 0.05078809 0.00575432 0.01926445]
